Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Comoros,COM,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,52614,,67439,69836,,,67011,73695,,
Cabo Verde,CPV,"Secondary education, general pupils",SE.SEC.ENRL.GC,60311,59081,59916,60512,60292,60482,58112,57028,56123,54989,52143,,
Costa Rica,CRI,"Secondary education, general pupils",SE.SEC.ENRL.GC,321961,344296,351947,355843,354565,355240,358465,349497,350256,353442,368090,,
Caribbean small states,CSS,"Secondary education, general pupils",SE.SEC.ENRL.GC,588357.4,587974.3,585296.1,587992.5,571061.1,552634.1,546983.3,531381.1,534544.1,518369.7,513048.1,,
Cuba,CUB,"Secondary education, general pupils",SE.SEC.ENRL.GC,637177,609467,605758,583001,574195,570344,631057,630515,624567,611961,587467,,
Curacao,CUW,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,3129,,,,,,,
Cayman Islands,CYM,"Secondary education, general pupils",SE.SEC.ENRL.GC,3198,,,3246,3302,3387,,,,,3476,,
Cyprus,CYP,"Secondary education, general pupils",SE.SEC.ENRL.GC,60914,60451,59426,58716,57632,56433,53982,52476,50821,50394,,,
Czech Republic,CZE,"Secondary education, general pupils",SE.SEC.ENRL.GC,554391,527768,502157,486747,477308,477633,475237,475741,479000,489144,,,
Germany,DEU,"Secondary education, general pupils",SE.SEC.ENRL.GC,6165863,6158257,6106595,6070384,5996583,5950879.207,5852544.865,5791963.341,5721174.294,5680849.444,,,
Djibouti,DJI,"Secondary education, general pupils",SE.SEC.ENRL.GC,38947,42532,,49099,52793,54817,55825,55085,55405,57182,60125,60822,
Dominica,DMA,"Secondary education, general pupils",SE.SEC.ENRL.GC,7162,6926,6581,6205,6093,,5663,5561,5618,,,,
Denmark,DNK,"Secondary education, general pupils",SE.SEC.ENRL.GC,358132,365589,372253,380370,385824,420591,422512,420893,418540,419140,,,
Dominican Republic,DOM,"Secondary education, general pupils",SE.SEC.ENRL.GC,868017,904551,866525,859325,863973,877685,886739,883270,882091,875967,849143,,
Algeria,DZA,"Secondary education, general pupils",SE.SEC.ENRL.GC,3542924,4139007,4227264,4191623,4202919,4165480,4132124,4131265,4016153,4007721,4075023,,
East Asia & Pacific (excluding high income),EAP,"Secondary education, general pupils",SE.SEC.ENRL.GC,125000000,124000000,122000000,121000000,120000000,118000000,117000000,117000000,116000000,117000000,120000000,,
Early-demographic dividend,EAR,"Secondary education, general pupils",SE.SEC.ENRL.GC,220000000,223000000,232000000,241000000,248000000,251000000,263000000,266000000,271000000,270000000,274000000,,
East Asia & Pacific,EAS,"Secondary education, general pupils",SE.SEC.ENRL.GC,138000000,137000000,135000000,134000000,132000000,131000000,129000000,130000000,128000000,129000000,131000000,,
Europe & Central Asia (excluding high income),ECA,"Secondary education, general pupils",SE.SEC.ENRL.GC,30000000,29200000,28500000,27900000,27300000,29200000,29200000,28800000,29100000,30000000,30500000,,
Europe & Central Asia,ECS,"Secondary education, general pupils",SE.SEC.ENRL.GC,61000000,60100000,59300000,58200000,57300000,59900000,59900000,59500000,59600000,60400000,60900000,,
Ecuador,ECU,"Secondary education, general pupils",SE.SEC.ENRL.GC,,1241900,1313293,1424067,1515121,1591283,1653890,1637495,1637359,1624377,1621831,,
"Egypt, Arab Rep.",EGY,"Secondary education, general pupils",SE.SEC.ENRL.GC,,5383815,,6156440,6176518,6325626,6481368,,6893137,6990960,7118450,,
Euro area,EMU,"Secondary education, general pupils",SE.SEC.ENRL.GC,20900000,20900000,20900000,20800000,20800000,21100000,21100000,21200000,21200000,21200000,21300000,,
Eritrea,ERI,"Secondary education, general pupils",SE.SEC.ENRL.GC,227442,240892,246778,254520,263080,266164,267427,244248,,244744,257599,,
Spain,ESP,"Secondary education, general pupils",SE.SEC.ENRL.GC,2574910,2582915,2652426,2681203,2713093,2749260,2716240,2703584,2715242,2711504,,,
Estonia,EST,"Secondary education, general pupils",SE.SEC.ENRL.GC,87298,80875,76645,72885,68734,65301,63252,62921,63036,63544,,,
Ethiopia,ETH,"Secondary education, general pupils",SE.SEC.ENRL.GC,3467133,3574877,3853280,4170276,4535121,,4404101,4676544,,4970565,,,
European Union,EUU,"Secondary education, general pupils",SE.SEC.ENRL.GC,32000000,31800000,31700000,31200000,30800000,31500000,31500000,31500000,31200000,31100000,31200000,,
Fragile and conflict affected situations,FCS,"Secondary education, general pupils",SE.SEC.ENRL.GC,21700000,23000000,24000000,25000000,26100000,26300000,26700000,27800000,28600000,29700000,30300000,,
Finland,FIN,"Secondary education, general pupils",SE.SEC.ENRL.GC,304729,300848,295322,288779,281315,288830,285273,282303,281334,281776,,,
Fiji,FJI,"Secondary education, general pupils",SE.SEC.ENRL.GC,95210,95550,,98889,95865,,,93021,92262,,,,
France,FRA,"Secondary education, general pupils",SE.SEC.ENRL.GC,4720698,4700123,4699970,4710630,4754127,4804248,4838587,4901509,4936517,4980314,,,
Faroe Islands,FRO,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,11428,11063,,,,,
Gabon,GAB,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,146080,,,,,,,,,
United Kingdom,GBR,"Secondary education, general pupils",SE.SEC.ENRL.GC,4639448,4749753,4805310,4549325,4378872,4413924,4471247.274,4492280.106,4151173,4174850,,,
Georgia,GEO,"Secondary education, general pupils",SE.SEC.ENRL.GC,303808,336681,335389,309855,281241,271246,267687,265453,262467,263635,269772,,
Ghana,GHA,"Secondary education, general pupils",SE.SEC.ENRL.GC,1656374,1762034,,2076418,2143835,2295190,2224627,2396253,2458694,2491604,2605193,2774390,
Gibraltar,GIB,"Secondary education, general pupils",SE.SEC.ENRL.GC,1674,1657,,,,,,,2100,2212,,,
Guinea,GIN,"Secondary education, general pupils",SE.SEC.ENRL.GC,519647,549094,573126,611874,635692,660441,689389,639478,673633,,,,
"Gambia, The",GMB,"Secondary education, general pupils",SE.SEC.ENRL.GC,104842,111019,112435,115198,121275,129866,136504,141401,146839,154667,163065,,
Guinea-Bissau,GNB,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,78026,,,,,,,,,,
Equatorial Guinea,GNQ,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,34237,38670,,,34968,,,,,
Greece,GRC,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,604863,577426,570480,569989,552547,555919,558518,563864,,,
Grenada,GRD,"Secondary education, general pupils",SE.SEC.ENRL.GC,12469,10657,11050,,,10040,9736,9309,9185,8834,9135,,
Greenland,GRL,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,,,,,,
Guatemala,GTM,"Secondary education, general pupils",SE.SEC.ENRL.GC,649466,713422,783752,801324,809893,836999,853208,923441,921189,876039,875321,,
Guam,GUM,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,,,,,,
