Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Switzerland,CHE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.556,73.581,73.607,73.631,73.653,73.674,73.696,73.718,73.739,73.761,73.797,73.849,
Channel Islands,CHI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.929,30.992,31.054,31.091,31.059,31.027,30.995,30.962,30.93,30.914,30.914,30.931,
Chile,CHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.959,87.017,87.074,87.132,87.189,87.246,87.303,87.36,87.422,87.49,87.564,87.643,
China,CHN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.539,47.88,49.226,50.511,51.765,53.013,54.259,55.5,56.736,57.96,59.152,60.308,
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.491,46.91,47.33,47.751,48.172,48.593,49.014,49.444,49.881,50.326,50.779,51.239,
Cameroon,CMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.35,50.954,51.559,52.164,52.769,53.373,53.976,54.578,55.179,55.777,56.374,56.968,
"Congo, Dem. Rep.",COD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,38.976,39.491,40.013,40.544,41.082,41.627,42.18,42.74,43.307,43.88,44.46,45.046,
"Congo, Rep.",COG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.346,62.8,63.256,63.712,64.169,64.627,65.085,65.543,66.001,66.459,66.916,67.373,
Colombia,COL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.204,77.587,77.964,78.335,78.701,79.061,79.415,79.764,80.108,80.446,80.778,81.104,
Comoros,COM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.886,27.921,27.973,28.04,28.123,28.223,28.338,28.47,28.619,28.784,28.965,29.164,
Cabo Verde,CPV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.194,61.016,61.821,62.322,62.821,63.317,63.81,64.3,64.784,65.261,65.732,66.195,
Costa Rica,CRI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.39,70.575,71.736,72.868,73.946,74.97,75.941,76.862,77.735,78.56,79.34,80.076,
Caribbean small states,CSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.42748832,50.43039987,50.43405747,50.45623968,50.5180253,50.59131466,50.68013618,50.78468403,50.90639259,51.04462168,51.19936158,51.37003905,
Cuba,CUB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.413,76.505,76.597,76.689,76.781,76.827,76.861,76.896,76.93,76.977,77.037,77.109,
Curacao,CUW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,90.161,90.034,89.905,89.775,89.654,89.544,89.443,89.352,89.272,89.203,89.145,89.098,
Cayman Islands,CYM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100,100,100,100,100,100,100,100,100,100,100,
Cyprus,CYP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.839,67.695,67.551,67.406,67.261,67.137,67.031,66.946,66.881,66.836,66.81,66.805,
Czech Republic,CZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.394,73.324,73.255,73.185,73.197,73.29,73.384,73.477,73.57,73.675,73.792,73.921,
Germany,DEU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.575,76.771,76.966,77.16,77.17,77.18,77.19,77.2,77.224,77.261,77.312,77.376,
Djibouti,DJI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.899,76.944,76.999,77.064,77.138,77.222,77.314,77.417,77.528,77.648,77.777,77.915,
Dominica,DMA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.502,67.799,68.094,68.389,68.685,68.982,69.28,69.579,69.88,70.181,70.483,70.786,
Denmark,DNK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.487,86.654,86.795,86.957,87.142,87.292,87.41,87.526,87.642,87.757,87.874,87.994,
Dominican Republic,DOM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,71.3,72.542,73.753,74.827,75.802,76.749,77.67,78.566,79.436,80.277,81.074,81.828,
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.097,66.826,67.54,68.236,68.915,69.576,70.221,70.848,71.459,72.052,72.629,73.189,
East Asia & Pacific (excluding high income),EAP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.40907032,46.51393858,47.62011597,48.66147748,49.67498456,50.68164488,51.68555463,52.68503516,53.68130535,54.66925266,55.63331748,56.57000362,
Early-demographic dividend,EAR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,41.22924157,41.61308407,41.99906433,42.37765556,42.75800449,43.14247032,43.53076225,43.92865336,44.32633765,44.72549894,45.1296007,45.54079619,
East Asia & Pacific,EAS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,49.88570174,50.91744096,51.94533743,52.87688159,53.7740095,54.66365014,55.55237545,56.43842096,57.32116487,58.19551352,59.05187575,59.88653274,
Europe & Central Asia (excluding high income),ECA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.95413531,66.14018018,66.31464433,66.47224209,66.62764436,66.7856762,66.94666441,67.11201402,67.28200722,67.45669153,67.6359306,67.81875803,
Europe & Central Asia,ECS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,70.37675809,70.5773235,70.77099633,70.94688219,71.12155076,71.29371224,71.46553113,71.64453328,71.82874508,72.01666764,72.21019233,72.40914876,
Ecuador,ECU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.3,62.495,62.69,62.851,62.988,63.125,63.261,63.398,63.534,63.67,63.821,63.986,
