Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Burkina Faso,BFA,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 1,063,780,000,000.00 "," 1,178,130,000,000.00 "," 1,428,490,000,000.00 "," 1,781,950,000,000.00 "," 2,221,530,000,000.00 "," 2,454,120,000,000.00 "," 2,195,560,000,000.00 "," 2,307,160,000,000.00 "," 2,431,910,000,000.00 "," 2,688,070,000,000.00 "," 2,869,950,000,000.00 "," 2,993,890,000,000.00 ",
Bangladesh,BGD,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 1,569,320,000,000.00 "," 1,632,430,000,000.00 "," 1,736,940,000,000.00 "," 2,518,420,000,000.00 "," 2,949,230,000,000.00 "," 3,208,140,000,000.00 "," 3,429,650,000,000.00 "," 3,751,510,000,000.00 "," 3,691,790,000,000.00 "," 4,004,560,000,000.00 "," 5,276,010,000,000.00 "," 5,450,080,000,000.00 ",
Bulgaria,BGR,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 52,603,647,000.00 "," 36,937,463,000.00 "," 39,650,028,000.00 "," 47,399,782,000.00 "," 52,499,128,000.00 "," 53,478,383,000.00 "," 55,182,863,000.00 "," 56,310,513,000.00 "," 56,216,752,000.00 "," 64,421,274,000.00 "," 69,407,680,000.00 "," 71,378,295,000.00 ",
Bahrain,BHR,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 6,119,900,000.00 "," 4,269,100,000.00 "," 4,924,500,000.00 "," 8,086,500,000.00 "," 9,681,700,000.00 "," 10,652,600,000.00 "," 9,982,400,000.00 "," 8,385,500,000.00 "," 7,929,100,000.00 "," 8,977,500,000.00 "," 10,170,300,000.00 ",,
"Bahamas, The",BHS,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 5,045,700,000.00 "," 4,225,400,000.00 "," 4,414,100,000.00 "," 5,125,700,000.00 "," 4,944,700,000.00 "," 4,809,000,000.00 "," 5,367,100,000.00 "," 4,454,100,000.00 "," 4,435,000,000.00 "," 5,000,200,000.00 "," 5,127,600,000.00 ",,
Bosnia and Herzegovina,BIH,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 15,136,742,000.00 "," 12,086,332,000.00 "," 13,005,289,000.00 "," 14,637,142,000.00 "," 14,630,847,000.00 "," 14,510,923,000.00 "," 15,494,258,000.00 "," 15,245,750,000.00 "," 15,639,820,000.00 "," 17,898,132,000.00 "," 19,097,357,000.00 "," 19,519,071,000.00 ",
Belarus,BLR,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 8,911,660,000.00 "," 8,491,260,000.00 "," 11,002,730,000.00 "," 24,428,710,000.00 "," 40,692,500,000.00 "," 41,235,530,000.00 "," 44,891,050,000.00 "," 52,061,430,000.00 "," 59,533,000,000.00 "," 70,405,200,000.00 "," 84,325,600,000.00 "," 88,295,000,000.00 ",
Belize,BLZ,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 1,906,576,000.00 "," 1,503,360,500.00 "," 1,615,353,700.00 "," 1,879,426,400.00 "," 1,943,329,200.00 "," 2,103,549,100.00 "," 2,170,650,200.00 "," 2,284,426,100.00 "," 2,187,339,000.00 "," 2,146,427,400.00 "," 2,170,888,300.00 "," 2,180,645,800.00 ",
Bermuda,BMU,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,," 1,771,580,000.00 "," 1,734,013,000.00 "," 1,601,009,000.00 "," 1,586,786,000.00 "," 1,649,401,000.00 ",,,,,,,
Bolivia,BOL,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 45,815,914,000.00 "," 40,053,515,000.00 "," 47,324,645,000.00 "," 63,814,125,000.00 "," 70,711,534,000.00 "," 78,680,000,000.00 "," 95,696,286,000.00 "," 84,518,799,000.00 "," 74,846,642,000.00 "," 82,422,058,000.00 "," 86,637,492,000.00 "," 88,817,119,000.00 ",
Brazil,BRA,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 426,776,000,000.00 "," 375,120,000,000.00 "," 462,672,000,000.00 "," 540,566,000,000.00 "," 637,317,000,000.00 "," 748,759,000,000.00 "," 790,183,000,000.00 "," 842,615,000,000.00 "," 756,521,000,000.00 "," 777,137,000,000.00 "," 999,487,000,000.00 "," 1,063,440,000,000.00 ",
Barbados,BRB,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 5,137,126,900.00 "," 4,090,756,600.00 "," 4,480,140,100.00 "," 4,564,744,100.00 "," 4,347,500,900.00 "," 4,293,825,300.00 "," 4,229,329,500.00 "," 4,063,219,200.00 "," 4,070,219,600.00 "," 4,054,352,700.00 "," 4,039,220,300.00 "," 4,342,592,300.00 ",
Brunei Darussalam,BRN,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 5,632,800,000.00 "," 5,587,200,000.00 "," 5,226,000,000.00 "," 6,998,000,000.00 "," 8,445,000,000.00 "," 9,711,000,000.00 "," 7,418,459,000.00 "," 6,699,317,950.00 "," 5,943,509,500.00 "," 5,962,768,600.00 "," 7,679,839,600.00 "," 9,291,058,102.00 ",
Bhutan,BTN,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 31,729,180,000.00 "," 38,082,000,000.00 "," 51,278,000,000.00 "," 59,878,000,000.00 "," 61,433,000,000.00 "," 65,625,000,000.00 "," 70,830,902,800.00 "," 87,090,026,600.00 "," 80,933,316,900.00 "," 84,136,811,900.00 "," 93,521,615,900.00 ",,
Botswana,BWA,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 38,139,000,000.00 "," 38,116,000,000.00 "," 44,532,000,000.00 "," 56,264,000,000.00 "," 67,465,000,000.00 "," 76,385,294,600.00 "," 80,837,400,000.00 "," 81,971,300,000.00 "," 75,391,200,000.00 "," 64,714,600,000.00 "," 74,566,200,000.00 "," 79,939,200,000.00 ",
Central African Republic,CAF,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 208,341,000,000.00 "," 210,523,000,000.00 "," 241,762,000,000.00 "," 245,264,000,000.00 "," 275,655,000,000.00 "," 195,716,000,000.00 "," 340,731,000,000.00 "," 361,710,000,000.00 "," 386,196,000,000.00 "," 479,931,000,000.00 "," 579,562,000,000.00 "," 617,666,000,000.00 ",
Canada,CAN,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 540,669,000,000.00 "," 470,749,000,000.00 "," 517,153,000,000.00 "," 564,513,000,000.00 "," 589,137,000,000.00 "," 606,801,000,000.00 "," 651,176,000,000.00 "," 683,019,000,000.00 "," 685,868,000,000.00 "," 719,909,000,000.00 "," 756,913,000,000.00 "," 767,934,000,000.00 ",
Central Europe and the Baltics,CEB,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,,,,,,,,,,,,
Switzerland,CHE,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 312,934,000,000.00 "," 292,837,000,000.00 "," 324,425,000,000.00 "," 354,307,000,000.00 "," 354,856,000,000.00 "," 382,087,000,000.00 "," 341,664,000,000.00 "," 330,492,000,000.00 "," 358,720,000,000.00 "," 364,735,000,000.00 "," 371,688,000,000.00 "," 373,144,000,000.00 ",
Channel Islands,CHI,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,,,,,,,,,,,,,
Chile,CHL,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 36,946,200,000,000.00 "," 28,325,700,000,000.00 "," 34,922,900,000,000.00 "," 42,023,400,000,000.00 "," 44,377,000,000,000.00 "," 45,187,600,000,000.00 "," 47,792,300,000,000.00 "," 47,221,300,000,000.00 "," 46,689,600,000,000.00 "," 48,922,700,000,000.00 "," 55,020,300,000,000.00 "," 56,678,400,000,000.00 ",
China,CHN,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 7,984,310,000,000.00 "," 7,121,970,000,000.00 "," 9,697,890,000,000.00 "," 11,794,800,000,000.00 "," 12,266,200,000,000.00 "," 13,131,200,000,000.00 "," 13,769,100,000,000.00 "," 12,475,300,000,000.00 "," 12,920,100,000,000.00 "," 14,926,800,000,000.00 "," 16,863,400,000,000.00 "," 17,107,200,000,000.00 ",
Cote d'Ivoire,CIV,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 4,356,440,000,000.00 "," 4,576,780,000,000.00 "," 5,339,910,000,000.00 "," 4,471,500,000,000.00 "," 6,120,000,000,000.00 "," 5,961,410,000,000.00 "," 6,001,450,000,000.00 "," 6,869,100,000,000.00 "," 6,514,900,000,000.00 "," 7,075,570,000,000.00 "," 7,400,000,000,000.00 "," 7,607,880,000,000.00 ",
Cameroon,CMR,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 3,893,490,000,000.00 "," 3,239,540,000,000.00 "," 3,489,820,000,000.00 "," 4,291,960,000,000.00 "," 4,497,540,000,000.00 "," 4,800,410,000,000.00 "," 5,204,790,000,000.00 "," 5,048,510,000,000.00 "," 4,636,020,000,000.00 "," 4,595,440,000,000.00 "," 5,093,200,000,000.00 "," 5,449,690,000,000.00 ",
"Congo, Dem. Rep.",COD,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 4,952,130,000,000.00 "," 5,456,530,000,000.00 "," 9,697,310,000,000.00 "," 10,853,900,000,000.00 "," 10,121,100,000,000.00 "," 12,327,000,000,000.00 "," 13,906,900,000,000.00 "," 11,097,600,000,000.00 "," 11,993,800,000,000.00 "," 21,736,400,000,000.00 "," 28,837,800,000,000.00 "," 27,462,900,000,000.00 ",
"Congo, Rep.",COG,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 2,496,080,000,000.00 "," 2,274,270,000,000.00 "," 3,253,010,000,000.00 "," 3,936,850,000,000.00 "," 4,212,770,000,000.00 "," 4,597,930,000,000.00 "," 4,924,390,000,000.00 "," 4,875,140,000,000.00 "," 4,590,840,000,000.00 "," 3,300,880,000,000.00 "," 3,722,510,000,000.00 "," 2,206,480,000,000.00 ",
Colombia,COL,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 100,353,000,000,000.00 "," 93,953,000,000,000.00 "," 97,516,000,000,000.00 "," 125,005,000,000,000.00 "," 133,461,000,000,000.00 "," 142,106,000,000,000.00 "," 159,086,000,000,000.00 "," 182,750,000,000,000.00 "," 185,588,000,000,000.00 "," 185,361,000,000,000.00 "," 203,772,000,000,000.00 "," 235,847,000,000,000.00 ",
Comoros,COM,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 85,752,000,000.00 "," 91,281,000,000.00 "," 100,785,000,000.00 "," 108,640,000,000.00 "," 123,948,000,000.00 "," 124,849,000,000.00 "," 125,838,000,000.00 "," 118,518,000,000.00 "," 119,112,000,000.00 "," 132,615,000,000.00 "," 146,534,000,000.00 ",,
Cabo Verde,CPV,Imports of goods and services (current LCU),NE.IMP.GNFS.CN," 84,979,055,600.00 "," 77,396,431,900.00 "," 85,591,040,600.00 "," 95,159,376,400.00 "," 89,978,231,600.00 "," 84,312,004,200.00 "," 93,719,794,100.00 "," 93,884,248,300.00 "," 99,406,594,900.00 "," 116,634,000,000.00 "," 124,995,000,000.00 "," 127,565,000,000.00 ",
